_id,node_id,name,type,incorporation_date,struck_off_date,closed_date,jurisdiction,jurisdiction_description,countries,country_codes,sourceID,valid_until,note
1044305,85009129,JAVARUBA N.V.,LIMITED LIABILITY COMPANY,06-DEC-1989,,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1044387,85009212,FURNITURE OUTLET CENTER N.V.,LIMITED LIABILITY COMPANY,28-DEC-1989,,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1044388,85009213,LING & SONS HOLDING & MANAGEMENT N.V.,LIMITED LIABILITY COMPANY,28-DEC-1989,,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1044510,85009339,ARTMAR N.V.,LIMITED LIABILITY COMPANY,28-DEC-1989,,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1044513,85009342,SADINI'S N.V.,LIMITED LIABILITY COMPANY,24-JAN-1990,,22-DEC-1999,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,Closed date stands for Cancelled date.
1044550,85009380,DYNAMITE N.V.,LIMITED LIABILITY COMPANY,03-MAY-1989,,04-DEC-2002,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,Closed date stands for Cancelled date.
1044552,85009382,HARBOUR TOWEL N.V.,LIMITED LIABILITY COMPANY,29-JAN-1990,,03-MAR-2010,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,Closed date stands for Cancelled date.
1044555,85009385,CASA DEL MIMBRE NV (I.L.),LIMITED LIABILITY COMPANY,10-MAR-1989,,08-APR-2011,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,Closed date stands for Liquidation date.
1044599,85009429,OCEAN FUN N.V.,LIMITED LIABILITY COMPANY,09-FEB-1990,,22-JUN-1999,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,Closed date stands for Cancelled date.
1044626,85009456,POTOSHI CLEANER N.V.,LIMITED LIABILITY COMPANY,07-FEB-1990,,05-NOV-2016,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,Closed date stands for Liquidation date.
1044831,85009662,CAMPANA FAST FOODS N.V.,LIMITED LIABILITY COMPANY,30-MAR-1990,26-AUG-2005,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1044908,85009739,JORDY'S N.V.,LIMITED LIABILITY COMPANY,18-APR-1990,31-DEC-1999,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1044988,85009819,TANKI LEENDERT APARTMENTS N.V.,LIMITED LIABILITY COMPANY,03-MAY-1990,,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1044994,85009825,SHIVAS N.V.,LIMITED LIABILITY COMPANY,07-MAY-1990,,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1045003,85009834,ROMI ENTERPRISES N.V.,LIMITED LIABILITY COMPANY,08-MAY-1990,,13-MAY-2004,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,Closed date stands for Cancelled date.
1045162,85009994,GALERAS N.V.,LIMITED LIABILITY COMPANY,03-MAY-1989,,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1045225,85010058,SPRITZER & FUHRMANN ARUBA N.V.,LIMITED LIABILITY COMPANY,29-JUN-1990,,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1045249,85010082,SATKAR CENTER N.V.,LIMITED LIABILITY COMPANY,05-JUL-1990,,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1045272,85010105,PRINT EXPRESS N.V.,LIMITED LIABILITY COMPANY,10-JUL-1990,22-FEB-2005,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1045280,85010113,RPM PIZZA ARUBA N.V.,LIMITED LIABILITY COMPANY,12-JUL-1990,10-SEP-2003,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1045299,85010132,SUPERCAR RENTALS N.V.,LIMITED LIABILITY COMPANY,18-JUL-1990,,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1045310,85010143,MICHELLE,SOLE OWNERSHIP,23-JUL-1990,,21-DEC-1994,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,Closed date stands for Cancelled date.
1045316,85010149,COLONY FOOD SERVICES N.V.,LIMITED LIABILITY COMPANY,23-JUL-1990,,30-AUG-2010,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,Closed date stands for Liquidation date.
1045357,85010190,PACIFICO GROCERY & RESTAURANT N.V.,LIMITED LIABILITY COMPANY,31-JUL-1990,,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1045440,85010273,MODE D'EUROPE N.V.,LIMITED LIABILITY COMPANY,14-AUG-1990,,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1045520,85010353,T.M.T. FOOD N.V.,LIMITED LIABILITY COMPANY,30-AUG-1990,31-DEC-2000,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1045539,85010372,NICITA DEVELOPMENT ARUBA N.V.,LIMITED LIABILITY COMPANY,03-SEP-1990,,01-SEP-2000,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,Closed date stands for Cancelled date.
1045588,85010422,A & E FOOD AND BEVERAGE SERVICES N.V.,LIMITED LIABILITY COMPANY,15-MAR-1988,,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1045637,85010471,ROMESA IMPORT & EXPORT N.V.,LIMITED LIABILITY COMPANY,14-SEP-1990,23-AUG-2001,,AW,Aruba,,,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,
1189833,80000012,GROUP - Ansbacher & Co (UK/Channel Is),,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189834,80004686,AAK Company Ltd.,,,,,,,Bermuda;Isle of Man,BMU;IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189835,80008912,Appleby Group (Mauritius),,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189836,80010195,Chemsa Ltd.,,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189837,80010320,Marks & Spencer (Isle of Man) Pension Scheme Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189838,80010328,Brunswick Gardens Limited,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189839,80010329,Crucible Insurance Company Limited,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189840,80010333,Habib European Bank Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189841,80010338,Lan Fong Foundation Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189842,80010339,Lotpat Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189843,80010354,Castletown and District Over 60's Club,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189844,80010355,Christopher Insurance Company Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189845,80010360,Manx Sports Aid Foundation,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189846,80010361,Pembroke Insurance Company Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189847,80010366,Ruthlands Ltd.,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189848,80010367,Abrahams Consolidated Limited,,,,,,,Isle of Man;United Kingdom,IMN;GBR,Paradise Papers - Appleby,Appleby data is current through 2014,
1189849,80010369,Marsh (Isle of Man) Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189850,80010375,Prime Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189851,80010392,Greatways Investments Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189852,80010400,Sermar Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189853,80010401,FMG Services Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189854,80010418,Zurich Bank International Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189855,80010428,Biosil Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189856,80010436,Wish Upon a Dream,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189857,80010455,The Eleanor Davies Trust,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189858,80010459,Jacton Properties Limited,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189859,80010475,Principle Energy Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189860,80010477,Tolmain Advisory Services Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189861,80010483,Manx Mencap,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189862,80010486,China Central Properties Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189863,80010487,Calabrese Holdings Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189864,80010488,Argon Technologies Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189865,80010490,Society of Trust and Estate Practitioners (Isle of Man) Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189866,80010491,Penfolds Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189867,80010499,The Fairway Partnership,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189868,80010500,The Palmerston Partnership,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189869,80010501,The Beaghmor Partnership,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189870,80010521,RSA Isle of Man No.1 Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189871,80010523,Kazakhstan Kagazy Plc,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189872,80010524,The Abode Partnership,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189873,80010525,DLS Properties Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189874,80010537,ALG Trustee Limited - Isle of Man,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189875,80010539,Argo Group Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189876,80010541,Playtech Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189877,80010544,Nexus Financial Services W.L.L.,,,,,,,Bahrain,BHR,Paradise Papers - Appleby,Appleby data is current through 2014,
1189878,80010555,Vellon Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189879,80010572,Econergy International Plc,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189880,80010589,Nationwide (Isle of Man) Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189881,80010606,Jerone Properties Limited,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189882,80010608,Parima Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189883,80010623,Royal Insurance Service Company (Isle of Man) Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189884,80010624,DLS Investments Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189885,80010625,Hunter Resources Plc,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189886,80010684,Morland Enterprises Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189887,80010686,The T T Grime Will Trust,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189888,80010690,Denby Property Investments Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189889,80010695,Baccarat Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189890,80010697,Creation London Residential IoM PCC Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189891,80010699,Powertech Plc,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189892,80011244,"The Wimbledon Fund, SPC",,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189893,80011498,Tanager SPC,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189894,80011653,"BIAS Global Portfolios, SPC",,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189895,80011720,APOLLON ART INVESTMENT COMPANY SPC,,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189896,80012047,Renaissance Russia Master Fund SPC,,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189897,80012380,Trader Capital Fund SPC,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189898,80012704,Freeport Development Corp.,,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189899,80013070,TCM MPS Ltd. SPC,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189900,80013219,Vasco Strategic Fund SPC,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189901,80013415,Ralph Ellis Limited,,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189902,80013443,South Coast Limited,,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189903,80013448,Lido Finance Corporation,,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189904,80013480,Chesterdale Investments Limited,,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189905,80013487,A.C. Investments (Cayman) Limited,,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189906,80013503,SUNSET MARITIME LIMITED,,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189907,80013519,The Company Ltd.,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189908,80013555,THE BARRASPUR TRUST,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189909,80013557,DAB TRUST DECLARATION OF TRUST,,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189910,80013600,Green Meadow Trust,,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189911,80013601,The Los Condores Discretionary Trust,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189912,80013623,The Hambly Trust,,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189913,80013648,M.J. Knight Trust,,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189914,80013650,A.C. Wates 1971 Settlement,,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189915,80013655,The Esquire Trust,,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189916,80013659,Pine Tree Trust,,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189917,80013661,Global Educational Trust No.1,,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189918,80013693,MACAJA Trust,,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189919,80013700,The Niemo II Trust,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189920,80013775,Myers & Alberga - ABATCO TRUST,,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189921,80013815,Isle of Man Bank Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189922,80013820,PELICAN INVESTMENT CO. LTD,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189923,80013824,Kolad Investments - ABATCO TRUST,,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189924,80013840,The Gloriannaco Purpose Trust,,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189925,80013841,The Soren Purpose Trust,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189926,80013920,Transcontinental Company Ltd,,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189927,80013964,DQ Entertainment Plc,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189928,80014301,Appleby Holdings (Guernsey) Limited - Guernsey,,,,,,,Guernsey,GGY,Paradise Papers - Appleby,Appleby data is current through 2014,
1189929,80014313,Cuprum Resources Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189930,80014372,New Century Hotel Group Limited 開元酒店集團有限公司,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189931,80014397,Zverinata Advokata Andra Grutupa Birojs,,,,,,,Latvia,LVA,Paradise Papers - Appleby,Appleby data is current through 2014,
1189932,80014599,Power India Plc,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189933,80014600,Caravanserai,,,,,,,Cayman Islands,CYM,Paradise Papers - Appleby,Appleby data is current through 2014,
1189934,80014694,Emerald Atlant.Is Limited,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189935,80014742,Cartouche Limited,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189936,80014752,Finevo Fund SPC,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189937,80014801,Remember Me,,,,,,,Isle of Man,IMN,Paradise Papers - Appleby,Appleby data is current through 2014,
1189938,80015733,Group - Aggreko plc Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189939,80015734,Group - AIG-CET Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189940,80015735,Group - Alpha Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189941,80015737,Group - Appleby Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189942,80015738,Group - W&G Baird Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189943,80015739,Group - John Bassadone Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189944,80015740,Group - James Bedford Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189945,80015742,Group - Billingham Manor Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189946,80015743,Group - Philip Binfield matters Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189947,80015744,Group - Jurat Michael Bonn Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189948,80015745,Group - Broad Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189949,80015746,Group - Burano Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189950,80015747,Group - The AB Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189951,80015748,Group - Churston Heard Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189952,80015749,Group - Glegg Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189953,80015750,Group - Cocolas Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189954,80015751,Group - Comet Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189955,80015752,Group - Cortez Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189956,80015753,Group - John Daleymount Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189957,80015754,Group - Dandara Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189958,80015755,Group - Michael Dee Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189959,80015757,Group - Owen Eastwood Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189960,80015758,Group - Michael Edmund Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189961,80015759,Group - Eland Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189962,80015760,Group - Venetia Fane Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189963,80015761,Group - Walter Frey Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189964,80015763,Group - Grail Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189965,80015764,Group - Dr Robert Graham Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189966,80015765,Group - Graham Boxall Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189967,80015768,Group - Hugo Heerema Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189968,80015769,Group - Herc Hefer Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189969,80015770,Group - Heusden Wiersum Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189970,80015772,Group - In Haus International Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189971,80015773,Group - International Research Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189972,80015774,Group - Issoudun Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189973,80015775,Group - Austen Janes Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189974,80015776,Group - Andreas Kannellopoulous Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189975,80015778,Group - Kite Warren Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189976,80015779,Group - Jacques Labesse Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189977,80015780,Group - Land Securities Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189978,80015781,Group - Le Cuirot Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189979,80015782,Group - David John Lewis Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189980,80015783,Group - Lundgren Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189981,80015784,Group - Marek Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189982,80015785,Group - Maroun Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
1189983,80015786,Group - Masonite International Group,,,,,,,,,Paradise Papers - Appleby,Appleby data is current through 2014,
